Price,Adj Close,Close,High,Low,Open,Volume
2020-04-20,264.3114013671875,276.25,294.70001220703125,273.0249938964844,282.0,2534592
2020-04-27,266.89471435546875,278.95001220703125,292.17498779296875,274.2749938964844,277.5,2871338
2020-05-04,308.70611572265625,322.6499938964844,325.0,270.82501220703125,276.95001220703125,6064922
2020-05-11,303.4198913574219,317.125,330.0,293.04998779296875,328.67498779296875,3207728
2020-05-18,314.4229431152344,328.625,343.0,301.5,318.7250061035156,2592974
2020-05-25,326.3348693847656,341.07501220703125,348.45001220703125,315.7749938964844,328.625,1986788
2020-06-01,338.5338439941406,353.82501220703125,369.3999938964844,337.0,346.0,2859072
2020-06-08,331.8602600097656,346.8500061035156,359.0,330.625,357.5,1490496
2020-06-15,340.3038330078125,355.67498779296875,365.0,346.25,357.0,1684204
2020-06-22,324.2777099609375,338.92498779296875,371.8999938964844,328.42498779296875,361.0,3472594
2020-06-29,343.796142578125,359.32501220703125,371.0,334.0,334.0,4023458
2020-07-06,343.796142578125,359.32501220703125,366.8999938964844,355.0,359.375,3388986
2020-07-13,341.33245849609375,356.75,361.9750061035156,353.6000061035156,359.5,1252184
2020-07-20,348.98663330078125,364.75,375.0,356.0249938964844,357.92498779296875,2108430
2020-07-27,351.2351379394531,367.1000061035156,372.5,359.5249938964844,366.95001220703125,3045646
2020-08-03,350.63714599609375,366.4750061035156,371.875,363.04998779296875,371.0,3188710
2020-08-10,367.42864990234375,384.0249938964844,394.7250061035156,365.54998779296875,366.875,8272202
2020-08-17,375.1068115234375,392.04998779296875,407.0,380.5,389.0,3096972
2020-08-24,380.7279357910156,397.92498779296875,414.42498779296875,392.20001220703125,395.0,2432132
2020-08-31,375.2743225097656,392.2250061035156,400.0,376.5,395.0,3515012
2020-09-07,382.5458679199219,399.82501220703125,402.25,382.1499938964844,390.7250061035156,2630078
2020-09-14,538.5972900390625,562.9249877929688,574.9500122070312,402.75,403.5,27567880
2020-09-21,458.1795654296875,478.875,574.5,436.6000061035156,569.5,6347276
2020-09-28,474.54974365234375,495.5249938964844,517.5,478.9750061035156,488.5,2436428
2020-10-05,469.23468017578125,489.9750061035156,510.0,483.67498779296875,499.8999938964844,2270896
2020-10-12,501.8673095703125,524.0499877929688,536.9500122070312,471.125,494.3999938964844,2515694
2020-10-19,478.5240783691406,499.67498779296875,538.0,496.54998779296875,524.0499877929688,1125430
2020-10-26,483.001220703125,504.3500061035156,530.5,486.0,500.0,1188136
2020-11-02,488.7711486816406,510.375,518.0,466.625,466.625,676878
2020-11-09,463.5364990234375,484.0249938964844,526.5,441.6499938964844,511.0,1781282
2020-11-16,449.02789306640625,468.875,484.25,459.79998779296875,477.25,881784
2020-11-23,476.2974853515625,497.3500061035156,506.95001220703125,469.92498779296875,475.70001220703125,1898040
2020-11-30,476.08203125,497.125,505.625,490.5,497.3500061035156,1181180
2020-12-07,478.4523010253906,499.6000061035156,505.0,493.9750061035156,504.3999938964844,783974
2020-12-14,510.0075378417969,532.5499877929688,547.5,497.6499938964844,503.8999938964844,1536314
2020-12-21,494.13409423828125,515.9749755859375,538.8250122070312,493.9750061035156,527.5,898358
2020-12-28,495.2594299316406,517.1500244140625,524.4500122070312,500.0249938964844,524.0,1060658
2021-01-04,500.622314453125,522.75,539.4000244140625,512.25,519.5,2710942
2021-01-11,499.9280090332031,522.0250244140625,532.5,515.0,527.6749877929688,899336
2021-01-18,475.5792236328125,496.6000061035156,524.5999755859375,495.5,522.0499877929688,614536
2021-01-25,479.385986328125,500.57501220703125,535.5750122070312,489.1499938964844,499.07501220703125,954148
2021-02-01,483.049072265625,504.3999938964844,523.5,478.0249938964844,501.0,1901298
2021-02-08,575.1290893554688,600.5499877929688,629.0,496.5,505.04998779296875,11309140
2021-02-15,531.74658203125,555.25,631.5,550.9749755859375,610.8499755859375,2803806
2021-02-22,539.5376586914062,559.2999877929688,603.1500244140625,540.5499877929688,559.5,1386466
2021-03-01,578.1967163085938,599.375,624.0,558.0250244140625,559.2999877929688,2488852
2021-03-08,588.5427856445312,610.0999755859375,621.0,595.25,605.0,926168
2021-03-15,571.5646362304688,592.5,616.0,554.0499877929688,616.0,1131788
2021-03-22,592.6666259765625,614.375,659.0,582.5,599.9500122070312,3100446
2021-03-29,603.9292602539062,626.0499877929688,637.5,608.4249877929688,614.375,731952
2021-04-05,604.7249755859375,626.875,644.5,607.0,626.0499877929688,1263334
2021-04-12,588.9768676757812,610.5499877929688,652.5,605.0999755859375,629.0,1234044
2021-04-19,628.9381103515625,651.9749755859375,678.5,604.0,605.5,2161108
2021-04-26,673.0234375,697.6749877929688,705.0,646.4749755859375,659.7249755859375,1432856
2021-05-03,702.0838623046875,727.7999877929688,747.0,691.5,707.3499755859375,1607298
2021-05-10,668.1035766601562,692.5750122070312,756.7750244140625,682.0,735.0,1248658
2021-05-17,696.0066528320312,721.5,729.0,682.7750244140625,700.0250244140625,1214672
2021-05-24,690.1461791992188,715.4249877929688,745.0,698.75,725.0,1237596
2021-05-31,729.4081420898438,756.125,765.0,715.0,722.9500122070312,1334914
2021-06-07,742.8170776367188,770.0250244140625,800.0,753.5,766.3499755859375,1019346
2021-06-14,738.4036865234375,765.4500122070312,799.0,746.0499877929688,776.0,2511260
2021-06-21,765.0284423828125,793.0499877929688,795.0,749.25,756.0,1452396
2021-06-28,898.1764526367188,931.0750122070312,948.5,795.0,801.5,3384536
2021-07-05,874.3492431640625,906.375,968.8499755859375,871.0250244140625,941.0,2718256
2021-07-12,912.6704711914062,946.0999755859375,959.0,890.8250122070312,913.5,1290056
2021-07-19,874.807373046875,906.8499755859375,964.5,900.9500122070312,948.9000244140625,1231168
2021-07-26,874.5903930664062,906.625,921.7249755859375,870.0,909.2750244140625,1353078
2021-08-02,870.2493896484375,902.125,915.8499755859375,876.0,910.0,991534
2021-08-09,857.0575561523438,888.4500122070312,937.1500244140625,845.7750244140625,909.5999755859375,1342724
2021-08-16,839.3558349609375,870.0999755859375,887.375,837.2750244140625,880.0,750582
2021-08-23,809.4271850585938,839.0750122070312,890.0,816.6500244140625,876.0,887834
2021-08-30,813.3099975585938,843.0999755859375,860.0,835.0,849.5,1058152
2021-09-06,853.3740234375,880.4749755859375,901.4749755859375,835.5999755859375,851.1749877929688,1689080
2021-09-13,843.5606689453125,870.3499755859375,889.75,855.5,880.9749755859375,1318644
2021-09-20,889.6470947265625,917.9000244140625,927.5,852.5,870.0,2276296
2021-09-27,914.0713500976562,943.0999755859375,992.5,905.0,932.5,2636006
2021-10-04,865.7557983398438,893.25,943.5,889.7750244140625,943.0999755859375,841160
2021-10-11,872.2252197265625,899.9249877929688,925.0,884.8250122070312,897.5,894220
2021-10-18,822.4074096679688,848.5250244140625,905.0,833.2750244140625,899.9249877929688,2238290
2021-10-25,813.2483520507812,839.0750122070312,859.0,804.9749755859375,842.5,824386
2021-11-01,803.0714721679688,828.5750122070312,845.0,813.5250244140625,823.5,550278
2021-11-08,805.1552734375,830.7249755859375,884.9500122070312,807.9749755859375,826.0,1215274
2021-11-15,803.8710327148438,829.4000244140625,845.7999877929688,823.5,835.0,595130
2021-11-22,804.670654296875,830.2249755859375,833.1749877929688,769.0,827.5,989358
2021-11-29,782.6209716796875,807.4749755859375,835.0,778.8499755859375,834.2750244140625,639488
2021-12-06,789.9385375976562,815.0250244140625,823.0,784.4749755859375,796.0,427974
2021-12-13,772.1048583984375,796.625,820.9749755859375,783.0,812.5,913724
2021-12-20,814.8959350585938,840.7750244140625,862.5499877929688,775.0,802.0,2127066
2021-12-27,862.4603881835938,889.8499755859375,903.1500244140625,817.5250244140625,831.0,986626
2022-01-03,799.9215698242188,825.3250122070312,902.25,820.5250244140625,896.9000244140625,670698
2022-01-10,836.873046875,863.4500122070312,875.0499877929688,826.375,827.5,742488
2022-01-17,853.1075439453125,880.2000122070312,883.0,858.4500122070312,863.4500122070312,476368
2022-01-24,852.4774780273438,879.5499877929688,914.0,837.3499755859375,880.0999755859375,1172652
2022-01-31,853.0590209960938,880.1500244140625,937.5,860.0,892.75,1526344
2022-02-07,826.62353515625,852.875,895.6749877929688,847.5,893.25,582816
2022-02-14,784.9227905273438,809.8499755859375,898.875,781.0250244140625,837.5,1467984
2022-02-21,775.4244384765625,800.0499877929688,835.0,790.5,810.0,1047128
2022-02-28,767.7734375,788.0,820.25,772.5250244140625,802.75,609174
2022-03-07,770.7208251953125,791.0250244140625,805.0,742.5,761.5,838128
2022-03-14,781.8525390625,802.4500122070312,821.5750122070312,762.5,817.5,976034
2022-03-21,759.7595825195312,779.7750244140625,807.5,771.8250122070312,806.1749877929688,1430378
2022-03-28,758.3954467773438,778.375,799.0,760.0499877929688,776.0,673186
2022-04-04,800.0968627929688,821.1749877929688,841.5,785.8499755859375,799.0,1523752
2022-04-11,782.778076171875,803.4000244140625,839.5,795.0250244140625,825.2999877929688,1089284
2022-04-18,829.6433715820312,851.5,859.0,789.2750244140625,807.4249877929688,898100
2022-04-25,837.3894653320312,859.4500122070312,893.0,829.9249877929688,830.5,744166
2022-05-02,785.8716430664062,806.5750122070312,872.5,801.5750122070312,859.3250122070312,470860
2022-05-09,775.6654663085938,796.0999755859375,832.7000122070312,774.0499877929688,805.5750122070312,528988
2022-05-16,774.8617553710938,795.2750244140625,817.5,775.0,796.0,579764
2022-05-23,789.0869140625,809.875,819.9500122070312,774.0750122070312,795.5250244140625,343464
2022-05-30,769.6734008789062,789.9500122070312,832.0,785.0250244140625,815.9500122070312,511466
2022-06-06,768.5771484375,788.8250122070312,801.3499755859375,760.2000122070312,775.125,373890
2022-06-13,700.8612670898438,719.3250122070312,787.5,671.0999755859375,777.625,811184
2022-06-20,758.687744140625,778.6749877929688,780.0,701.3499755859375,710.9500122070312,338338
2022-06-27,763.388916015625,783.5,798.0250244140625,764.2249755859375,778.6749877929688,762830
2022-07-04,767.2619018554688,787.4749755859375,806.7000122070312,781.5250244140625,790.0,332640
2022-07-11,797.5880126953125,818.5999755859375,824.4749755859375,773.5,786.5999755859375,345520
2022-07-18,840.7752075195312,862.9249877929688,869.0,813.0,825.2750244140625,591814
2022-07-25,862.3323364257812,885.0499877929688,887.4249877929688,830.7000122070312,867.4500122070312,559744
2022-08-01,902.6209716796875,926.4000244140625,937.0,872.4749755859375,890.0,616776
2022-08-08,898.7723999023438,922.4500122070312,938.5,892.5,924.0,375516
2022-08-15,877.0845947265625,896.2249755859375,940.0,884.2750244140625,922.4500122070312,487332
2022-08-22,889.0975341796875,908.5,919.0,852.7750244140625,888.0999755859375,721912
2022-08-29,877.9654541015625,897.125,922.2249755859375,880.0250244140625,902.5,674022
2022-09-05,903.8260498046875,923.5499877929688,958.5750122070312,886.9500122070312,892.5,604736
2022-09-12,929.5399169921875,949.8250122070312,1024.0,919.2750244140625,931.5,1507102
2022-09-19,905.9791259765625,925.75,977.0,924.25,941.2000122070312,583132
2022-09-26,939.3997802734375,959.9000244140625,980.5999755859375,915.6749877929688,940.0,992430
2022-10-03,978.643310546875,1000.0,1015.0,965.5250244140625,967.5,989600
2022-10-10,945.6386108398438,966.2750244140625,1034.0,961.5,1000.0,763860
2022-10-17,970.447265625,991.625,1000.0,937.5499877929688,957.5,683924
2022-10-24,927.191162109375,947.4249877929688,1006.0,943.0250244140625,1006.0,335308
2022-10-31,976.7349243164062,998.0499877929688,1032.699951171875,950.0,950.5499877929688,759868
2022-11-07,973.8480224609375,995.0999755859375,1006.125,985.0,1000.5,425186
2022-11-14,1036.334228515625,1058.949951171875,1075.0,977.6500244140625,1012.5,1143532
2022-11-21,1006.8038330078125,1028.7750244140625,1070.0,1007.75,1070.0,563734
2022-11-28,979.0103759765625,1000.375,1035.824951171875,997.75,1030.0,364958
2022-12-05,1002.522216796875,1024.4000244140625,1040.0,994.75,1006.3250122070312,670108
2022-12-12,1034.0836181640625,1056.6500244140625,1062.5,998.0250244140625,1032.5,891516
2022-12-19,957.0887451171875,977.9749755859375,1068.925048828125,970.0,1062.5,632400
2022-12-26,951.4860229492188,972.25,987.4500122070312,960.25,970.5,424998
2023-01-02,955.4005126953125,976.25,1008.5250244140625,967.4749755859375,977.0,230570
2023-01-09,957.6759033203125,978.5750122070312,990.5499877929688,949.8499755859375,981.1500244140625,488110
2023-01-16,946.8374633789062,967.5,1004.0,963.5,978.5750122070312,222212
2023-01-23,994.032470703125,1015.7249755859375,1022.5,957.7750244140625,967.4500122070312,423196
2023-01-30,1007.8313598632812,1029.824951171875,1042.449951171875,991.2750244140625,1015.4749755859375,532356
2023-02-06,972.5023193359375,993.7249755859375,1034.699951171875,970.2000122070312,1029.824951171875,325656
2023-02-13,959.4129638671875,980.3499755859375,998.4749755859375,962.7750244140625,993.7249755859375,301030
2023-02-20,966.8737182617188,983.7000122070312,987.5,953.2750244140625,978.0,373882
2023-02-27,958.4945068359375,975.1749877929688,1004.0,965.5499877929688,983.7000122070312,355402
2023-03-06,964.41650390625,981.2000122070312,985.375,966.5,976.5,187978
2023-03-13,961.68896484375,978.4249877929688,994.0,967.5,980.0,221856
2023-03-20,967.4143676757812,984.25,1000.2000122070312,905.1749877929688,905.1749877929688,228492
2023-03-27,971.2721557617188,988.1749877929688,999.0,958.5250244140625,984.25,434322
2023-04-03,997.4417724609375,1014.7999877929688,1021.5,971.0499877929688,988.0,643186
2023-04-10,1064.426025390625,1082.949951171875,1103.5,991.3499755859375,1019.875,1098490
2023-04-17,1054.7445068359375,1073.0999755859375,1111.949951171875,1047.5,1111.949951171875,805562
2023-04-24,1046.7093505859375,1064.925048828125,1085.9000244140625,1027.1500244140625,1078.75,1514256
2023-05-01,997.7120361328125,1015.0750122070312,1073.949951171875,1010.5,1064.925048828125,300758
2023-05-08,1002.7494506835938,1020.2000122070312,1074.5,1006.0,1020.1500244140625,364850
2023-05-15,977.6610107421875,994.6749877929688,1029.949951171875,977.6500244140625,1025.324951171875,798970
2023-05-22,1014.4703979492188,1032.125,1042.074951171875,875.0,875.0,2184778
2023-05-29,1041.5001220703125,1059.625,1071.449951171875,1031.4000244140625,1034.0,566250
2023-06-05,1061.2562255859375,1079.7249755859375,1090.0,1050.4749755859375,1064.925048828125,380510
2023-06-12,1109.3443603515625,1128.6500244140625,1134.9749755859375,1065.050048828125,1077.2750244140625,828820
2023-06-19,1135.7596435546875,1155.5250244140625,1223.875,1130.2750244140625,1130.4749755859375,1576646
2023-06-26,1163.2315673828125,1183.4749755859375,1190.8499755859375,1151.75,1161.0,740026
2023-07-03,1128.0439453125,1147.675048828125,1196.8499755859375,1137.5,1183.4749755859375,509160
2023-07-10,1262.5531005859375,1284.5250244140625,1386.9749755859375,1143.125,1149.875,3446096
2023-07-17,1234.1474609375,1255.625,1296.550048828125,1231.050048828125,1290.5,253972
2023-07-24,1187.287841796875,1207.949951171875,1260.0,1183.800048828125,1247.0,388570
2023-07-31,1299.829345703125,1322.449951171875,1324.949951171875,1196.9749755859375,1206.550048828125,652258
2023-08-07,1317.0545654296875,1339.9749755859375,1422.2750244140625,1245.5250244140625,1328.9749755859375,1456150
2023-08-14,1311.2554931640625,1334.074951171875,1362.5,1277.5,1316.175048828125,518416
2023-08-21,1411.34033203125,1420.949951171875,1437.5,1315.0,1334.9749755859375,1594992
2023-08-28,1388.6199951171875,1398.074951171875,1468.5,1360.0,1416.9749755859375,1387518
2023-09-04,1382.064697265625,1391.4749755859375,1444.125,1379.300048828125,1408.9749755859375,706802
2023-09-11,1468.476318359375,1478.4749755859375,1524.5,1392.7750244140625,1392.7750244140625,2381294
2023-09-18,1368.3829345703125,1377.699951171875,1513.25,1371.0999755859375,1478.0,759470
2023-09-25,1472.0767822265625,1482.0999755859375,1489.5,1377.300048828125,1377.699951171875,654736
2023-10-02,1480.171875,1490.25,1519.699951171875,1459.550048828125,1482.0999755859375,1068073
2023-10-09,1446.1534423828125,1456.0,1518.699951171875,1446.0,1479.050048828125,583516
2023-10-16,1336.5,1345.5999755859375,1459.449951171875,1317.199951171875,1455.050048828125,867062
2023-10-23,1351.8951416015625,1361.0999755859375,1364.699951171875,1244.449951171875,1352.0,403266
2023-10-30,1393.2137451171875,1402.699951171875,1417.949951171875,1363.050048828125,1374.0,367834
2023-11-06,1492.2891845703125,1502.449951171875,1536.25,1397.449951171875,1405.699951171875,903436
2023-11-13,1506.09521484375,1516.3499755859375,1540.0,1485.6500244140625,1507.25,473725
2023-11-20,1410.595458984375,1420.199951171875,1525.0,1417.0,1510.0,397065
2023-11-27,1450.5732421875,1460.449951171875,1498.800048828125,1371.0,1420.199951171875,783457
2023-12-04,1442.97509765625,1452.800048828125,1556.5,1432.050048828125,1474.0,718597
2023-12-11,1410.2479248046875,1419.8499755859375,1480.5,1412.550048828125,1469.699951171875,733146
2023-12-18,1607.9019775390625,1618.8499755859375,1631.0,1413.0,1419.8499755859375,2917846
2023-12-25,1613.6629638671875,1624.6500244140625,1639.8499755859375,1589.5999755859375,1618.8499755859375,808900
2024-01-01,1680.010986328125,1691.449951171875,1733.4000244140625,1591.5999755859375,1625.0,1145717
2024-01-08,1673.257080078125,1684.6500244140625,1710.0,1642.050048828125,1678.75,389642
2024-01-15,1606.213623046875,1617.1500244140625,1705.0,1551.300048828125,1700.0,714066
2024-01-22,1684.03369140625,1695.5,1705.0,1616.199951171875,1617.1500244140625,404727
2024-01-29,1676.9320068359375,1688.3499755859375,1741.550048828125,1631.0999755859375,1703.949951171875,426978
2024-02-05,1714.0791015625,1725.75,1940.0,1687.050048828125,1687.050048828125,2792834
2024-02-12,1643.9566650390625,1655.1500244140625,1729.9000244140625,1632.5999755859375,1725.75,484465
2024-02-19,1640.538330078125,1646.25,1699.0,1626.550048828125,1656.0,514958
2024-02-26,1526.0867919921875,1531.4000244140625,1676.949951171875,1480.0,1631.0,1373903
2024-03-04,1582.4903564453125,1588.0,1598.949951171875,1509.050048828125,1520.0,444752
2024-03-11,1544.672119140625,1550.050048828125,1598.8499755859375,1513.800048828125,1598.8499755859375,684866
2024-03-18,1619.06298828125,1624.699951171875,1636.0,1532.0,1564.25,765942
2024-03-25,1644.6739501953125,1650.4000244140625,1694.699951171875,1557.050048828125,1624.699951171875,552030
2024-04-01,1710.3453369140625,1716.300048828125,1726.0,1651.1500244140625,1656.0,459336
2024-04-08,1793.5555419921875,1799.800048828125,1810.0,1695.5999755859375,1716.3499755859375,1199388
2024-04-15,1773.4256591796875,1779.5999755859375,1840.0,1770.0,1798.0,1029997
2024-04-22,1858.5792236328125,1865.050048828125,1885.0,1768.25,1780.0,723655
2024-04-29,1883.343017578125,1889.9000244140625,1920.0,1861.199951171875,1889.0,487219
2024-05-06,1811.044677734375,1817.3499755859375,1891.0,1725.449951171875,1891.0,842068
2024-05-13,1836.605712890625,1843.0,1915.0,1774.6500244140625,1800.1500244140625,410077
2024-05-20,1661.814208984375,1667.5999755859375,1865.0,1635.5,1825.0,1156065
2024-05-27,1765.7523193359375,1771.9000244140625,1825.0,1665.8499755859375,1680.699951171875,1428479
2024-06-03,1793.3065185546875,1799.550048828125,1825.0,1667.050048828125,1782.0,922356
2024-06-10,1847.866455078125,1854.300048828125,1926.8499755859375,1808.0,1819.3499755859375,954202
2024-06-17,1748.711669921875,1754.800048828125,1878.949951171875,1744.449951171875,1854.300048828125,528007
2024-06-24,1748.562255859375,1754.6500244140625,1788.0,1668.699951171875,1754.949951171875,983499
2024-07-01,1736.5042724609375,1742.550048828125,1906.0,1733.050048828125,1800.050048828125,2105588
2024-07-08,1743.5296630859375,1749.5999755859375,1775.0,1690.0999755859375,1759.0,1159635
2024-07-15,1784.287841796875,1790.5,1815.0,1727.0999755859375,1749.5999755859375,552031
2024-07-22,1878.160888671875,1884.699951171875,1898.699951171875,1782.550048828125,1790.5,552715
2024-07-29,1920.6629638671875,1927.3499755859375,1963.199951171875,1880.050048828125,1896.6500244140625,845402
2024-08-05,1923.652587890625,1930.3499755859375,2010.0,1825.0,1825.0,1034599
2024-08-12,1959.6771240234375,1966.5,2030.0,1907.199951171875,1944.25,945778
2024-08-19,1885.800048828125,1885.800048828125,1984.3499755859375,1875.199951171875,1967.0,434977
2024-08-26,1953.800048828125,1953.800048828125,1991.949951171875,1870.050048828125,1885.949951171875,898923
2024-09-02,1928.4000244140625,1928.4000244140625,1991.3499755859375,1905.0,1934.050048828125,825128
2024-09-09,1923.300048828125,1923.300048828125,1980.0,1850.0,1934.949951171875,904322
2024-09-16,1897.25,1897.25,1957.5999755859375,1847.0,1930.0,708942
2024-09-23,1837.949951171875,1837.949951171875,1969.550048828125,1826.6500244140625,1914.0,1381186
2024-09-30,1715.1500244140625,1715.1500244140625,1898.75,1670.0,1849.9000244140625,1534608
2024-10-07,1806.300048828125,1806.300048828125,1845.0,1666.0,1719.300048828125,1899240
2024-10-14,1891.3499755859375,1891.3499755859375,1932.1500244140625,1798.0,1815.3499755859375,876130
2024-10-21,1891.9000244140625,1891.9000244140625,1935.0,1852.0,1902.0,822383
2024-10-28,1960.300048828125,1960.300048828125,1984.0,1835.800048828125,1866.0,569576
2024-11-04,1840.699951171875,1840.699951171875,1945.0,1830.0,1945.0,611687
2024-11-11,1681.949951171875,1681.949951171875,1846.050048828125,1660.0,1845.0,649436
2024-11-18,1743.4000244140625,1743.4000244140625,1753.949951171875,1655.25,1687.4000244140625,505682
2024-11-25,1735.300048828125,1735.300048828125,1820.0,1716.550048828125,1780.0,734206
2024-12-02,1763.949951171875,1763.949951171875,1836.449951171875,1734.0,1736.0,566716
2024-12-09,1841.3499755859375,1841.3499755859375,1865.3499755859375,1736.550048828125,1764.0,1772818
2024-12-16,1891.9000244140625,1891.9000244140625,1952.0,1796.75,1848.550048828125,1980380
2024-12-23,1818.550048828125,1818.550048828125,1899.6500244140625,1790.0,1885.6500244140625,539825
2024-12-30,1878.199951171875,1878.199951171875,1898.0,1791.25,1815.0,663793
2025-01-02,1851.699951171875,1851.699951171875,1871.800048828125,1833.0999755859375,1867.050048828125,52015
